bucket_offset_s,bucket_epoch_start,requests,rps,day,bucket_seconds,source_parts
0,899935200,3364,336.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
10,899935210,4376,437.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
20,899935220,4678,467.800000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
30,899935230,4590,459.000000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
40,899935240,4595,459.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
50,899935250,4424,442.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
60,899935260,4185,418.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
70,899935270,4186,418.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
80,899935280,4525,452.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
90,899935290,4537,453.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
100,899935300,4447,444.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
110,899935310,4433,443.300000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
120,899935320,4263,426.300000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
130,899935330,4421,442.100000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
140,899935340,4524,452.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
150,899935350,4286,428.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
160,899935360,4199,419.900000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
170,899935370,4249,424.900000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
180,899935380,4377,437.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
190,899935390,4147,414.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
200,899935400,4040,404.000000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
210,899935410,3952,395.200000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
220,899935420,4131,413.100000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
230,899935430,4027,402.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
